source,target,transformed_treat_score,rank,is_known_positive,off_label
CHEBI:6704,MONDO:0000141,3.1482342042183173,15795505.0,False,False
UNII:AD4J2O47FQ,MONDO:0006058,3.1527917133064234,15267654.0,False,False
CHEBI:59173,MONDO:0009759,3.0913456688155154,23913116.0,False,False
UNII:5QS67N4551,MONDO:0006058,3.0916353245977293,23864211.0,False,False
CHEBI:7575,MONDO:0013582,3.1479423744699866,15829818.0,False,False
CHEBI:46859,MONDO:0005212,3.153366302048002,15202628.0,False,False
CHEBI:68579,MONDO:0009759,3.1488042630387145,15728780.0,False,False
UNII:T9FVH03HMZ,MONDO:0006058,3.2906635478452495,5480234.0,False,False
CHEBI:64318,MONDO:0006058,3.0907755135956148,24009156.0,False,False
CHEBI:231594,MONDO:0009759,3.1483400316284413,15782929.0,False,False
CHEBI:82699,MONDO:0005212,3.2904843933658565,5487554.0,False,False
CHEBI:16163,MONDO:0005212,3.307096755014523,4860131.0,False,False
UNII:S866O45PIG,MONDO:0005212,3.1509666134309944,15477051.0,False,False
CHEBI:135919,MONDO:0005212,3.287888653206227,5593205.0,False,False
CHEBI:53775,MONDO:0006058,3.1484179412695594,15773901.0,False,False
UNII:2NU6F9601K,MONDO:0005212,3.3042155160666944,4963431.0,False,False
CHEBI:90951,MONDO:0006058,3.089328333319939,24255714.0,False,False
CHEBI:4031,MONDO:0013582,3.0920984969133487,23786073.0,False,False
UNII:CEGM9YBNGD,MONDO:0005212,3.296302818861119,5258163.0,False,False
CHEBI:27882,MONDO:0009759,3.153245835800557,15216367.0,False,False
CHEBI:6775,MONDO:0005212,3.174856878036837,12949372.0,False,False
CHEBI:31515,MONDO:0009759,3.1719385585704423,13235231.0,False,False
CHEBI:7936,MONDO:0009759,3.1695479456896205,13473445.0,False,False
CHEBI:194527,MONDO:0005212,3.3256488380547444,4246951.0,False,False
CHEBI:7507,MONDO:0005212,3.314596644663043,4601529.0,False,False
CHEBI:9754,MONDO:0005212,3.2255851080526705,8867032.0,False,False
UMLS:C5439902,MONDO:0005212,3.322243332697559,4353251.0,False,False
CHEBI:4909,MONDO:0005212,3.221900454259129,9114310.0,False,False
CHEBI:8673,MONDO:0006058,3.3220271504519276,4360005.0,False,False
CHEBI:92769,MONDO:0009759,3.1695769277081576,13470561.0,False,False
CHEBI:474053,MONDO:0005212,3.315486826569148,4571935.0,False,False
CHEBI:3013,MONDO:0005212,3.1720728564323584,13221821.0,False,False
CHEBI:7825,MONDO:0006058,3.1745824967464324,12975960.0,False,False
CHEBI:90914,MONDO:0005212,3.169868304025659,13441273.0,False,False
CHEBI:9927,MONDO:0006058,3.3146638374208672,4599315.0,False,False
CHEBI:6931,MONDO:0005212,3.1714649617264326,13282218.0,False,False
UNII:M89N0Q7EQR,MONDO:0000141,3.2172703109681913,9434132.0,False,False
CHEBI:9328,MONDO:0006058,3.2225979126921023,9067041.0,False,False
CHEBI:8707,MONDO:0005212,3.216944960364275,9457068.0,False,False
CHEBI:39211,MONDO:0006058,3.320947522517476,4394170.0,False,False
PUBCHEM.COMPOUND:630293,MONDO:0006058,3.2184295954124877,9352979.0,False,False
CHEBI:10100,MONDO:0005212,3.2259728962650818,8841370.0,False,False
CHEBI:5613,MONDO:0009759,3.216682913518384,9475794.0,False,False
CHEBI:85078,MONDO:0013582,3.2196084915281626,9271051.0,False,False
CHEBI:9566,MONDO:0005212,3.2213795361238744,9149626.0,False,False
CHEBI:31485,MONDO:0006058,3.172788740168571,13150886.0,False,False
UNII:W4141180YD,MONDO:0005212,3.321827291159689,4366422.0,False,False
DRUGBANK:DB17362,MONDO:0005212,3.3293424287594364,4134972.0,False,False
CHEBI:2788,MONDO:0005212,3.1728157661736844,13148244.0,False,False
CHEBI:4710,MONDO:0009759,3.22658972955415,8800645.0,False,False
CHEBI:291902,MONDO:0005212,3.226980934606848,8774906.0,False,False
PUBCHEM.COMPOUND:9852982,MONDO:0006058,3.176828057330113,12760395.0,False,False
CHEBI:64318,MONDO:0009759,3.1762728515655283,12813236.0,False,False
CHEBI:16382,MONDO:0006058,3.2188441539718866,9324108.0,False,False
PUBCHEM.COMPOUND:156963654,MONDO:0005212,3.22057829093523,9204336.0,False,False
CHEBI:135961,MONDO:0005212,3.320847970281794,4397390.0,False,False
CHEBI:6912,MONDO:0006058,3.215482434388467,9560951.0,False,False
UNII:43K1W2T1M6,MONDO:0000141,3.220776359594149,9190940.0,False,False
CHEBI:63681,MONDO:0006058,3.3188271816254225,4462325.0,False,False
CHEBI:6149,MONDO:0009759,3.067788831138518,28126884.0,False,False
CHEBI:7575,MONDO:0000141,3.0976859645761534,22861864.0,False,False
CHEBI:4464,MONDO:0005212,3.1611195257241924,14348551.0,False,False
CHEBI:3504,MONDO:0009759,3.0968431465576076,22999196.0,False,False
CHEBI:50693,MONDO:0000141,3.069236407615196,27855800.0,False,False
CHEBI:50663,MONDO:0006058,3.1560680695019894,14899276.0,False,False
CHEBI:90217,MONDO:0013582,3.0699694955248575,27719444.0,False,False
CHEBI:7494,MONDO:0006058,3.097125789861538,22953289.0,False,False
CHEBI:149601,MONDO:0006058,3.069139823798313,27873814.0,False,False
CHEBI:39548,MONDO:0000141,3.157321790532719,14760522.0,False,False
CHEBI:8884,MONDO:0006058,3.1568475615999194,14812678.0,False,False
CHEBI:9566,MONDO:0013582,3.094127155831912,23447054.0,False,False
CHEBI:59773,MONDO:0009759,3.0980200594507306,22807317.0,False,False
CHEBI:6129,MONDO:0009759,3.1580369392386043,14682532.0,False,False
PR:000007302,MONDO:0006058,3.159180924943742,14557646.0,False,False
UNII:07896928ZC,MONDO:0009759,3.069133051811039,27875140.0,False,False
CHEBI:141474,MONDO:0005212,3.09706895730947,22962685.0,False,False
CHEBI:465284,MONDO:0000141,3.1570038647236895,14795376.0,False,False
CHEBI:6904,MONDO:0000141,3.0674359297649865,28192980.0,False,False
CHEBI:91817,MONDO:0013582,3.069736835573916,27762937.0,False,False
CHEBI:9448,MONDO:0009759,3.0690061154091186,27898976.0,False,False
CHEBI:6339,MONDO:0000141,3.0679651147711096,28093630.0,False,False
CHEBI:9321,MONDO:0009759,3.095788963249399,23171925.0,False,False
UNII:04NQ160FRU,MONDO:0005212,3.0673818216356166,28203062.0,False,False
CHEBI:6887,MONDO:0000141,3.0964038224181305,23070854.0,False,False
CHEBI:63638,MONDO:0013582,3.0700691945239367,27700764.0,False,False
CHEBI:5002,MONDO:0013582,3.1581612509632864,14668958.0,False,False
CHEBI:6427,MONDO:0013582,3.15608086017333,14897909.0,False,False
CHEBI:134718,MONDO:0006058,3.0963358331379167,23082093.0,False,False
CHEBI:71272,MONDO:0005212,3.0701308862681698,27689383.0,False,False
CHEBI:48947,MONDO:0005212,3.159884444166277,14481259.0,False,False
CHEBI:109549,MONDO:0009759,3.1590001985697995,14577086.0,False,False
CHEBI:15551,MONDO:0009759,3.0937970158884136,23502062.0,False,False
CHEBI:100241,MONDO:0013582,3.096608401138858,23037440.0,False,False
CHEBI:4858,MONDO:0006058,3.15643778289874,14858218.0,False,False
UNII:M89N0Q7EQR,MONDO:0013582,3.0947049847167136,23351205.0,False,False
